순위,팀명,POS,G,GS,IP,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT,RF
1,STL,1B,159,155,1369.2,1372,1256,111,5,145,-,-,-,-,-,.996,8.60
2,HOU,1B,110,104,894.2,804,728,73,3,58,-,-,-,-,-,.996,7.28
3,CHC,1B,146,144,1226.2,1268,1140,123,5,120,-,-,-,-,-,.996,8.65
4,ATL,1B,158,157,1365.2,1365,1296,63,6,128,-,-,-,-,-,.996,8.60
5,SF,1B,144,123,1155.1,1122,1017,99,6,108,-,-,-,-,-,.995,7.75
6,CIN,1B,133,132,1131.2,1069,944,118,7,93,-,-,-,-,-,.993,7.98
7,PHI,1B,158,157,1398.1,1324,1193,122,9,111,-,-,-,-,-,.993,8.32
8,OAK,1B,127,125,1120.2,1121,1023,90,8,95,-,-,-,-,-,.993,8.76
9,CWS,1B,125,125,1103.2,1094,1012,74,8,128,-,-,-,-,-,.993,8.69
10,MIN,1B,117,110,993.1,996,927,61,8,87,-,-,-,-,-,.992,8.44
11,COL,1B,110,98,884.1,1027,909,109,9,97,-,-,-,-,-,.991,9.25
12,ARI,1B,142,132,1179.0,1192,1042,139,11,95,-,-,-,-,-,.991,8.32
13,CLE,1B,135,135,1185.2,1034,951,73,10,77,-,-,-,-,-,.990,7.59
14,NYM,1B,156,152,1328.0,1202,1078,112,12,108,-,-,-,-,-,.990,7.63
15,SD,1B,157,155,1356.0,1248,1128,106,14,82,-,-,-,-,-,.989,7.86
16,PIT,1B,134,133,1160.2,1090,981,96,13,91,-,-,-,-,-,.988,8.04
1,ATL,2B,158,157,1405.0,661,273,384,4,117,-,-,-,-,-,.994,4.16
2,CLE,2B,117,117,1024.0,407,150,253,4,51,-,-,-,-,-,.990,3.44
3,PIT,2B,142,133,1180.2,555,222,327,6,78,-,-,-,-,-,.989,3.87
4,NYM,2B,118,104,955.1,445,179,261,5,59,-,-,-,-,-,.989,3.73
5,WSH,2B,123,114,1009.0,398,145,248,5,61,-,-,-,-,-,.987,3.20
6,CWS,2B,149,142,1256.2,673,248,416,9,108,-,-,-,-,-,.987,4.46
7,STL,2B,147,134,1195.1,671,250,412,9,103,-,-,-,-,-,.987,4.50
8,PHI,2B,157,155,1376.2,637,271,354,12,96,-,-,-,-,-,.981,3.98
9,SEA,2B,111,105,918.1,441,190,242,9,63,-,-,-,-,-,.980,3.89
10,MIA,2B,117,115,1012.2,435,177,249,9,63,-,-,-,-,-,.979,3.64
11,BAL,2B,111,85,733.1,364,136,220,8,57,-,-,-,-,-,.978,3.21
12,TEX,2B,137,134,1188.1,555,246,294,15,85,-,-,-,-,-,.973,3.94
13,OAK,2B,124,115,1024.0,479,221,245,13,63,-,-,-,-,-,.973,3.76
14,HOU,2B,121,119,1023.2,396,128,257,11,49,-,-,-,-,-,.972,3.18
14,COL,2B,113,98,860.0,468,160,295,13,76,-,-,-,-,-,.972,4.03
16,MIN,2B,113,110,983.1,434,166,254,14,62,-,-,-,-,-,.968,3.72
1,OAK,3B,156,152,1336.0,466,146,311,9,27,-,-,-,-,-,.981,2.93
2,COL,3B,154,151,1319.2,457,111,337,9,43,-,-,-,-,-,.980,2.91
3,ARI,3B,144,122,1137.0,312,86,219,7,28,-,-,-,-,-,.978,2.12
4,LAD,3B,124,119,1023.2,294,67,219,8,22,-,-,-,-,-,.973,2.31
5,PHI,3B,110,99,924.2,265,62,195,8,10,-,-,-,-,-,.970,2.34
6,WSH,3B,146,146,1265.1,355,95,249,11,31,-,-,-,-,-,.969,2.36
7,ATL,3B,148,148,1297.0,417,100,304,13,38,-,-,-,-,-,.969,2.73
8,BAL,3B,114,89,843.0,254,70,176,8,26,-,-,-,-,-,.969,2.16
9,NYM,3B,120,112,997.1,330,89,229,12,24,-,-,-,-,-,.964,2.65
10,CWS,3B,129,128,1095.2,391,120,256,15,37,-,-,-,-,-,.962,2.91
